probe_id,gene_name,description
ENSCAFG00000018007,PSMD10,protein_coding
ENSCAFG00000019110,ENSCAFG00000019110,protein_coding
ENSCAFG00000017705,ARMCX2,protein_coding
ENSCAFG00000029979,ENSCAFG00000029979,protein_coding
ENSCAFG00000029688,U6,snRNA
ENSCAFG00000038939,ENSCAFG00000038939,lncRNA
ENSCAFG00000031919,ENSCAFG00000031919,protein_coding
ENSCAFG00000015326,SLC38A5,protein_coding
ENSCAFG00000044546,ENSCAFG00000044546,lncRNA
ENSCAFG00000017721,ENSCAFG00000017721,protein_coding
ENSCAFG00000013713,ENSCAFG00000013713,protein_coding
ENSCAFG00000042660,ENSCAFG00000042660,lncRNA
ENSCAFG00000019590,UBL4A,protein_coding
ENSCAFG00000015339,FTSJ1,protein_coding
ENSCAFG00000019591,SLC10A3,protein_coding
ENSCAFG00000047347,ENSCAFG00000047347,lncRNA
ENSCAFG00000044982,ENSCAFG00000044982,lncRNA
ENSCAFG00000027838,ENSCAFG00000027838,miRNA
ENSCAFG00000019116,MAMLD1,protein_coding
ENSCAFG00000019598,G6PD,protein_coding
ENSCAFG00000019125,MTM1,protein_coding
ENSCAFG00000018009,ATG4A,protein_coding
ENSCAFG00000007484,SNRNP35,protein_coding
ENSCAFG00000015435,PORCN,protein_coding
ENSCAFG00000013747,TAB3,protein_coding
ENSCAFG00000022185,U6,snRNA
ENSCAFG00000019133,MTMR1,protein_coding
ENSCAFG00000043275,ENSCAFG00000043275,protein_coding
ENSCAFG00000019136,CD99L2,protein_coding
ENSCAFG00000018016,COL4A6,protein_coding
ENSCAFG00000028715,HMGB3,protein_coding
ENSCAFG00000023562,DMD,protein_coding
ENSCAFG00000019592,FAM3A,protein_coding
ENSCAFG00000019141,ENSCAFG00000019141,protein_coding
ENSCAFG00000019143,GPR50,protein_coding
ENSCAFG00000025726,ENSCAFG00000025726,miRNA
ENSCAFG00000020459,ENSCAFG00000020459,miRNA
ENSCAFG00000014875,ENSCAFG00000014875,protein_coding
ENSCAFG00000019605,IKBKG,protein_coding
ENSCAFG00000016427,WNK3,protein_coding
ENSCAFG00000016642,ENSCAFG00000016642,protein_coding
ENSCAFG00000029165,VMA21,protein_coding
ENSCAFG00000026114,U6,snRNA
ENSCAFG00000018332,DOCK11,protein_coding
ENSCAFG00000030186,PASD1,protein_coding
ENSCAFG00000028032,U6,snRNA
ENSCAFG00000019149,PRRG3,protein_coding
ENSCAFG00000045061,U4,snRNA
ENSCAFG00000017730,ZMAT1,protein_coding
ENSCAFG00000019151,FATE1,protein_coding
ENSCAFG00000019588,ENSCAFG00000019588,protein_coding
ENSCAFG00000049708,ENSCAFG00000049708,protein_coding
ENSCAFG00000045003,ENSCAFG00000045003,protein_coding
ENSCAFG00000019153,CNGA2,protein_coding
ENSCAFG00000044419,ENSCAFG00000044419,protein_coding
ENSCAFG00000017731,ENSCAFG00000017731,protein_coding
ENSCAFG00000017734,BEX5,protein_coding
ENSCAFG00000019046,ENSCAFG00000019046,protein_coding
ENSCAFG00000028462,ENSCAFG00000028462,protein_coding
ENSCAFG00000031663,ENSCAFG00000031663,protein_coding
ENSCAFG00000019156,GABRE,protein_coding
ENSCAFG00000032105,ENSCAFG00000032105,protein_coding
ENSCAFG00000020575,ENSCAFG00000020575,miRNA
ENSCAFG00000022781,ENSCAFG00000022781,miRNA
ENSCAFG00000019159,ENSCAFG00000019159,pseudogene
ENSCAFG00000015483,TBC1D25,protein_coding
ENSCAFG00000015485,RBM3,protein_coding
ENSCAFG00000047880,ENSCAFG00000047880,protein_coding
ENSCAFG00000031569,ENSCAFG00000031569,protein_coding
ENSCAFG00000049128,ENSCAFG00000049128,lncRNA
ENSCAFG00000016421,ENSCAFG00000016421,protein_coding
ENSCAFG00000017286,ENSCAFG00000017286,protein_coding
ENSCAFG00000019304,ENSCAFG00000019304,pseudogene
ENSCAFG00000048577,ENSCAFG00000048577,protein_coding
ENSCAFG00000022654,U6,snRNA
ENSCAFG00000048486,ENSCAFG00000048486,protein_coding
ENSCAFG00000048321,ENSCAFG00000048321,lncRNA
ENSCAFG00000047524,ENSCAFG00000047524,protein_coding
ENSCAFG00000046267,ENSCAFG00000046267,protein_coding
ENSCAFG00000013780,ENSCAFG00000013780,protein_coding
ENSCAFG00000021362,Y_RNA,Y_RNA
ENSCAFG00000028900,ENSCAFG00000028900,protein_coding
ENSCAFG00000042794,ENSCAFG00000042794,protein_coding
ENSCAFG00000019610,OR7R1,protein_coding
ENSCAFG00000044436,ENSCAFG00000044436,protein_coding
ENSCAFG00000019160,ENSCAFG00000019160,protein_coding
ENSCAFG00000015491,WDR13,protein_coding
ENSCAFG00000017771,ENSCAFG00000017771,protein_coding
ENSCAFG00000047129,ENSCAFG00000047129,lncRNA
ENSCAFG00000030853,ENSCAFG00000030853,protein_coding
ENSCAFG00000041778,ENSCAFG00000041778,protein_coding
ENSCAFG00000018359,IL13RA1,protein_coding
ENSCAFG00000019161,GABRA3,protein_coding
ENSCAFG00000018020,COL4A5,protein_coding
ENSCAFG00000013807,TMEM47,protein_coding
ENSCAFG00000032129,U6,snRNA
ENSCAFG00000016455,GNL3L,protein_coding
ENSCAFG00000015519,WAS,protein_coding
ENSCAFG00000026387,U6,snRNA
ENSCAFG00000013842,ENSCAFG00000013842,protein_coding
ENSCAFG00000044259,ENSCAFG00000044259,lncRNA
ENSCAFG00000048864,ENSCAFG00000048864,lncRNA
ENSCAFG00000027662,U6,snRNA
ENSCAFG00000030854,ENSCAFG00000030854,protein_coding
ENSCAFG00000018363,LONRF3,protein_coding
ENSCAFG00000028832,ENSCAFG00000028832,protein_coding
ENSCAFG00000015545,SUV39H1,protein_coding
ENSCAFG00000047620,ENSCAFG00000047620,protein_coding
ENSCAFG00000019613,GAB3,protein_coding
ENSCAFG00000043693,U4,snRNA
ENSCAFG00000019620,DKC1,protein_coding
ENSCAFG00000027669,U6,snRNA
ENSCAFG00000024088,ENSCAFG00000024088,protein_coding
ENSCAFG00000049271,U4,snRNA
ENSCAFG00000042085,ENSCAFG00000042085,lncRNA
ENSCAFG00000020520,ENSCAFG00000020520,miRNA
ENSCAFG00000043740,ENSCAFG00000043740,protein_coding
ENSCAFG00000041410,ENSCAFG00000041410,protein_coding
ENSCAFG00000025631,ENSCAFG00000025631,miRNA
ENSCAFG00000048606,ENSCAFG00000048606,protein_coding
ENSCAFG00000016444,FGD1,protein_coding
ENSCAFG00000017774,ARMCX5,protein_coding
ENSCAFG00000026274,ENSCAFG00000026274,snoRNA
ENSCAFG00000027357,ENSCAFG00000027357,snRNA
ENSCAFG00000026610,ENSCAFG00000026610,snoRNA
ENSCAFG00000049682,U4,snRNA
ENSCAFG00000019627,MPP1,protein_coding
ENSCAFG00000008121,ENSCAFG00000008121,protein_coding
ENSCAFG00000029707,U6,snRNA
ENSCAFG00000015657,PCSK1N,protein_coding
ENSCAFG00000017775,GPRASP1,protein_coding
ENSCAFG00000044089,GLOD5,protein_coding
ENSCAFG00000043648,ENSCAFG00000043648,lncRNA
ENSCAFG00000044122,ENSCAFG00000044122,protein_coding
ENSCAFG00000049841,ENSCAFG00000049841,lncRNA
ENSCAFG00000045997,ENSCAFG00000045997,lncRNA
ENSCAFG00000049080,ENSCAFG00000049080,lncRNA
ENSCAFG00000029673,ENSCAFG00000029673,lncRNA
ENSCAFG00000027426,U4,snRNA
ENSCAFG00000048227,ENSCAFG00000048227,lncRNA
ENSCAFG00000029329,U6,snRNA
ENSCAFG00000021785,U6,snRNA
ENSCAFG00000017782,BHLHB9,protein_coding
ENSCAFG00000048206,ENSCAFG00000048206,pseudogene
ENSCAFG00000015572,GATA1,protein_coding
ENSCAFG00000035184,ENSCAFG00000035184,lncRNA
ENSCAFG00000016465,MAGED2,protein_coding
ENSCAFG00000015620,HDAC6,protein_coding
ENSCAFG00000017778,GPRASP2,protein_coding
ENSCAFG00000043054,ENSCAFG00000043054,protein_coding
ENSCAFG00000018028,IRS4,protein_coding
ENSCAFG00000019165,GABRQ,protein_coding
ENSCAFG00000042350,ENSCAFG00000042350,miRNA
ENSCAFG00000047816,ENSCAFG00000047816,protein_coding
ENSCAFG00000025848,SNORA62,snoRNA
ENSCAFG00000031214,TCEAL9,pseudogene
ENSCAFG00000023133,ENSCAFG00000023133,protein_coding
ENSCAFG00000049210,ENSCAFG00000049210,protein_coding
ENSCAFG00000026723,ENSCAFG00000026723,snoRNA
ENSCAFG00000019170,ENSCAFG00000019170,protein_coding
ENSCAFG00000041915,ENSCAFG00000041915,lncRNA
ENSCAFG00000047268,ENSCAFG00000047268,pseudogene
ENSCAFG00000018034,GUCY2F,protein_coding
ENSCAFG00000030387,ENSCAFG00000030387,snoRNA
ENSCAFG00000027482,U6,snRNA
ENSCAFG00000013865,PRRG1,protein_coding
ENSCAFG00000015652,ERAS,protein_coding
ENSCAFG00000019172,NSDHL,protein_coding
ENSCAFG00000016476,PFKFB1,protein_coding
ENSCAFG00000018366,KIAA1210,protein_coding
ENSCAFG00000024178,BEX3,protein_coding
ENSCAFG00000048286,ENSCAFG00000048286,protein_coding
ENSCAFG00000019176,ZNF185,protein_coding
ENSCAFG00000043481,ENSCAFG00000043481,protein_coding
ENSCAFG00000015681,SLC35A2,protein_coding
ENSCAFG00000017795,ENSCAFG00000017795,protein_coding
ENSCAFG00000033330,ENSCAFG00000033330,lncRNA
ENSCAFG00000045132,ENSCAFG00000045132,lncRNA
ENSCAFG00000041056,ENSCAFG00000041056,protein_coding
ENSCAFG00000018372,PGRMC1,protein_coding
ENSCAFG00000024146,ENSCAFG00000024146,protein_coding
ENSCAFG00000018044,ENSCAFG00000018044,protein_coding
ENSCAFG00000028574,NXT2,protein_coding
ENSCAFG00000018374,ENSCAFG00000018374,protein_coding
ENSCAFG00000019631,F8,protein_coding
ENSCAFG00000027478,U6,snRNA
ENSCAFG00000017797,TCEAL1,protein_coding
ENSCAFG00000018378,SLC25A43,protein_coding
ENSCAFG00000024210,ENSCAFG00000024210,protein_coding
ENSCAFG00000033251,ENSCAFG00000033251,lncRNA
ENSCAFG00000017798,MORF4L2,protein_coding
ENSCAFG00000018384,SLC25A5,protein_coding
ENSCAFG00000047960,ENSCAFG00000047960,protein_coding
ENSCAFG00000046020,ENSCAFG00000046020,protein_coding
ENSCAFG00000017804,GLRA4,protein_coding
ENSCAFG00000018402,UBE2A,protein_coding
ENSCAFG00000024521,ENSCAFG00000024521,pseudogene
ENSCAFG00000031358,TMEM31,protein_coding
ENSCAFG00000017811,PLP1,protein_coding
ENSCAFG00000048247,ENSCAFG00000048247,pseudogene
ENSCAFG00000026728,ENSCAFG00000026728,snoRNA
ENSCAFG00000023429,ENSCAFG00000023429,protein_coding
ENSCAFG00000017812,RAB9B,protein_coding
ENSCAFG00000015167,H2BW1,protein_coding
ENSCAFG00000044244,ENSCAFG00000044244,protein_coding
ENSCAFG00000018048,KCNE5,protein_coding
ENSCAFG00000013885,LANCL3,protein_coding
ENSCAFG00000018390,STEEP1,protein_coding
ENSCAFG00000042074,ENSCAFG00000042074,protein_coding
ENSCAFG00000018063,ACSL4,protein_coding
ENSCAFG00000032712,ENSCAFG00000032712,protein_coding
ENSCAFG00000038866,ENSCAFG00000038866,lncRNA
ENSCAFG00000017817,SLC25A53,protein_coding
ENSCAFG00000014310,APEX2,protein_coding
ENSCAFG00000031844,H2AB1,protein_coding
ENSCAFG00000028577,XK,protein_coding
ENSCAFG00000023407,ENSCAFG00000023407,protein_coding
ENSCAFG00000023289,ENSCAFG00000023289,protein_coding
ENSCAFG00000044053,ENSCAFG00000044053,protein_coding
ENSCAFG00000019634,FUNDC2,protein_coding
ENSCAFG00000018411,NKRF,protein_coding
ENSCAFG00000013933,CYBB,protein_coding
ENSCAFG00000014308,ALAS2,protein_coding
ENSCAFG00000048396,ENSCAFG00000048396,protein_coding
ENSCAFG00000016486,MAGEH1,protein_coding
ENSCAFG00000028624,FOXR2,protein_coding
ENSCAFG00000019635,ENSCAFG00000019635,protein_coding
ENSCAFG00000016503,RRAGB,protein_coding
ENSCAFG00000017824,ENSCAFG00000017824,protein_coding
ENSCAFG00000017828,FAM199X,protein_coding
ENSCAFG00000019636,MTCP1,protein_coding
ENSCAFG00000050007,ENSCAFG00000050007,protein_coding
ENSCAFG00000023214,ESX1,protein_coding
ENSCAFG00000038673,ENSCAFG00000038673,miRNA
ENSCAFG00000017859,IL1RAPL2,protein_coding
ENSCAFG00000029489,ENSCAFG00000029489,protein_coding
ENSCAFG00000030946,BRCC3,protein_coding
ENSCAFG00000030164,ENSCAFG00000030164,protein_coding
ENSCAFG00000018419,SEPTIN6,protein_coding
ENSCAFG00000041482,ENSCAFG00000041482,protein_coding
ENSCAFG00000015672,PQBP1,protein_coding
ENSCAFG00000049774,ENSCAFG00000049774,lncRNA
ENSCAFG00000042146,ENSCAFG00000042146,lncRNA
ENSCAFG00000018083,TMEM164,protein_coding
ENSCAFG00000016508,KLF8,protein_coding
ENSCAFG00000013949,ENSCAFG00000013949,pseudogene
ENSCAFG00000013955,DYNLT3,protein_coding
ENSCAFG00000042820,Metazoa_SRP,misc_RNA
ENSCAFG00000017850,ENSCAFG00000017850,protein_coding
ENSCAFG00000041182,ENSCAFG00000041182,lncRNA
ENSCAFG00000031207,ENSCAFG00000031207,protein_coding
ENSCAFG00000041237,ENSCAFG00000041237,protein_coding
ENSCAFG00000029449,U6,snRNA
ENSCAFG00000025657,ENSCAFG00000025657,miRNA
ENSCAFG00000013969,SYTL5,protein_coding
ENSCAFG00000041246,ENSCAFG00000041246,protein_coding
ENSCAFG00000048424,ENSCAFG00000048424,miRNA
ENSCAFG00000016514,ENSCAFG00000016514,pseudogene
ENSCAFG00000017883,NRK,protein_coding
ENSCAFG00000018090,AMMECR1,protein_coding
ENSCAFG00000019639,VBP1,protein_coding
ENSCAFG00000046992,ENSCAFG00000046992,protein_coding
ENSCAFG00000021628,ENSCAFG00000021628,snoRNA
ENSCAFG00000047807,ENSCAFG00000047807,protein_coding
ENSCAFG00000044911,ENSCAFG00000044911,protein_coding
ENSCAFG00000046351,ENSCAFG00000046351,protein_coding
ENSCAFG00000018426,UPF3B,protein_coding
ENSCAFG00000014003,RPGR,protein_coding
ENSCAFG00000028153,U6,snRNA
ENSCAFG00000017885,SERPINA7,protein_coding
ENSCAFG00000015683,PIM2,protein_coding
ENSCAFG00000016517,ENSCAFG00000016517,protein_coding
ENSCAFG00000017792,ENSCAFG00000017792,protein_coding
ENSCAFG00000028573,RTL9,protein_coding
ENSCAFG00000022649,U6,snRNA
ENSCAFG00000018430,ENSCAFG00000018430,protein_coding
ENSCAFG00000048350,ENSCAFG00000048350,protein_coding
ENSCAFG00000016520,ENSCAFG00000016520,protein_coding
ENSCAFG00000018117,CHRDL1,protein_coding
ENSCAFG00000044483,ENSCAFG00000044483,protein_coding
ENSCAFG00000024703,ENSCAFG00000024703,protein_coding
ENSCAFG00000015689,OTUD5,protein_coding
ENSCAFG00000019640,RAB39B,protein_coding
ENSCAFG00000019178,ENSCAFG00000019178,protein_coding
ENSCAFG00000023542,ENSCAFG00000023542,protein_coding
ENSCAFG00000044402,ENSCAFG00000044402,lncRNA
ENSCAFG00000016524,SPIN4,protein_coding
ENSCAFG00000031991,ENSCAFG00000031991,protein_coding
ENSCAFG00000049823,ENSCAFG00000049823,protein_coding
ENSCAFG00000017887,ENSCAFG00000017887,protein_coding
ENSCAFG00000016540,ARHGEF9,protein_coding
ENSCAFG00000034388,ENSCAFG00000034388,protein_coding
ENSCAFG00000029471,CLIC2,protein_coding
ENSCAFG00000018433,NKAP,protein_coding
ENSCAFG00000028471,H2AB3,processed_pseudogene
ENSCAFG00000019180,PNMA6A,protein_coding
ENSCAFG00000018555,ENSCAFG00000018555,processed_pseudogene
ENSCAFG00000042974,ENSCAFG00000042974,lncRNA
ENSCAFG00000019182,ENSCAFG00000019182,protein_coding
ENSCAFG00000019642,TMLHE,protein_coding
ENSCAFG00000023819,ENSCAFG00000023819,protein_coding
ENSCAFG00000045113,ENSCAFG00000045113,protein_coding
ENSCAFG00000023684,ENSCAFG00000023684,protein_coding
ENSCAFG00000015697,KCND1,protein_coding
ENSCAFG00000045470,ENSCAFG00000045470,protein_coding
ENSCAFG00000028428,U6,snRNA
ENSCAFG00000043586,ENSCAFG00000043586,lncRNA
ENSCAFG00000022986,U6,snRNA
ENSCAFG00000045505,ENSCAFG00000045505,lncRNA
ENSCAFG00000023624,ENSCAFG00000023624,protein_coding
ENSCAFG00000017914,RADX,protein_coding
ENSCAFG00000041241,ENSCAFG00000041241,protein_coding
ENSCAFG00000030651,SPRY3,protein_coding
ENSCAFG00000019184,ZNF275,protein_coding
ENSCAFG00000029984,ZFP92,protein_coding
ENSCAFG00000019645,VAMP7,protein_coding
ENSCAFG00000047156,ENSCAFG00000047156,lncRNA
ENSCAFG00000019185,TREX2,protein_coding
ENSCAFG00000030625,ENSCAFG00000030625,lncRNA
ENSCAFG00000019186,HAUS7,protein_coding
ENSCAFG00000017931,RNF128,protein_coding
ENSCAFG00000015744,GRIPAP1,protein_coding
ENSCAFG00000047118,ENSCAFG00000047118,lncRNA
ENSCAFG00000044927,ENSCAFG00000044927,protein_coding
ENSCAFG00000041153,ENSCAFG00000041153,protein_coding
ENSCAFG00000017944,TBC1D8B,protein_coding
ENSCAFG00000018154,PAK3,protein_coding
ENSCAFG00000045966,MTRNR2L3,protein_coding
ENSCAFG00000019189,BGN,protein_coding
ENSCAFG00000030907,ENSCAFG00000030907,protein_coding
ENSCAFG00000030912,U6,snRNA
ENSCAFG00000018454,ENSCAFG00000018454,protein_coding
ENSCAFG00000019230,ATP2B3,protein_coding
ENSCAFG00000031349,ENSCAFG00000031349,protein_coding
ENSCAFG00000023631,ZBTB33,protein_coding
ENSCAFG00000041618,ENSCAFG00000041618,protein_coding
ENSCAFG00000021843,U4,snRNA
ENSCAFG00000027199,ENSCAFG00000027199,miRNA
ENSCAFG00000016550,ASB12,protein_coding
ENSCAFG00000018461,TMEM255A,protein_coding
ENSCAFG00000048831,ENSCAFG00000048831,protein_coding
ENSCAFG00000044074,ENSCAFG00000044074,processed_pseudogene
ENSCAFG00000016554,ENSCAFG00000016554,protein_coding
ENSCAFG00000018914,INTS6L,protein_coding
ENSCAFG00000015765,TFE3,protein_coding
ENSCAFG00000016559,ZC4H2,protein_coding
ENSCAFG00000015776,CCDC120,protein_coding
ENSCAFG00000027680,RNaseP_nuc,ribozyme
ENSCAFG00000030376,ENSCAFG00000030376,pseudogene
ENSCAFG00000018128,ENSCAFG00000018128,pseudogene
ENSCAFG00000018175,CAPN6,protein_coding
ENSCAFG00000031307,ZC3H12B,protein_coding
ENSCAFG00000018484,ATP1B4,protein_coding
ENSCAFG00000019239,CCNQ,protein_coding
ENSCAFG00000028046,U6,snRNA
ENSCAFG00000018179,DCX,protein_coding
ENSCAFG00000016570,LAS1L,protein_coding
ENSCAFG00000018510,LAMP2,protein_coding
ENSCAFG00000041985,ENSCAFG00000041985,protein_coding
ENSCAFG00000015785,WDR45,protein_coding
ENSCAFG00000026879,U4,snRNA
ENSCAFG00000048571,ENSCAFG00000048571,lncRNA
ENSCAFG00000019241,DUSP9,protein_coding
ENSCAFG00000050067,U4,snRNA
ENSCAFG00000035459,ENSCAFG00000035459,lncRNA
ENSCAFG00000018518,ENSCAFG00000018518,pseudogene
ENSCAFG00000045607,ENSCAFG00000045607,protein_coding
ENSCAFG00000018537,CUL4B,protein_coding
ENSCAFG00000041343,ENSCAFG00000041343,lncRNA
ENSCAFG00000021849,U6,snRNA
ENSCAFG00000018544,ENSCAFG00000018544,pseudogene
ENSCAFG00000049196,ENSCAFG00000049196,lncRNA
ENSCAFG00000018545,MCTS1,protein_coding
